Date,EURUSD=X,GC=F,BTC-USD,AAPL,XOM,V,CL=F
2020-12-10,1.207875370979309,1833.5999755859375,18264.9921875,121.59248352050781,39.574039459228516,204.39300537109375,46.779998779296875
2020-12-11,1.2144293785095215,1839.800048828125,18058.904296875,120.77359008789062,39.38520431518555,203.04425048828125,46.56999969482422
2020-12-14,1.213340401649475,1828.699951171875,19246.64453125,120.1520004272461,37.9644660949707,204.0386199951172,46.9900016784668
2020-12-15,1.214889645576477,1852.300048828125,19417.076171875,126.17046356201172,38.70180892944336,205.13140869140625,47.619998931884766
2020-12-16,1.2154301404953003,1856.0999755859375,21310.59765625,126.10137176513672,39.295284271240234,205.0428009033203,47.81999969482422
2020-12-17,1.2199585437774658,1887.199951171875,22805.162109375,126.9794692993164,39.09746170043945,207.90769958496094,48.36000061035156
2020-12-18,1.226271629333496,1885.699951171875,23137.9609375,124.96676635742188,38.42306137084961,208.03567504882812,49.099998474121094
2020-12-21,1.221612811088562,1879.199951171875,22803.08203125,126.51576232910156,37.7216796875,205.7713165283203,47.7400016784668
2020-12-22,1.2236906290054321,1866.5999755859375,23783.029296875,130.11695861816406,37.08324432373047,202.6504669189453,47.02000045776367
2020-12-23,1.2186651229858398,1874.699951171875,23241.345703125,129.20925903320312,37.5598258972168,202.1188201904297,48.119998931884766
2020-12-24,1.2191405296325684,1879.9000244140625,23735.94921875,130.20578002929688,37.40695571899414,205.4661407470703,48.22999954223633
2020-12-25,1.2184720039367676,,24664.791015625,,,,
2020-12-28,1.2205095291137695,1877.199951171875,27084.80859375,134.86268615722656,37.5328483581543,209.3352508544922,47.619998931884766
2020-12-29,1.2223445177078247,1879.699951171875,27362.4375,133.06700134277344,37.11021423339844,211.04827880859375,48.0
2020-12-30,1.225295066833496,1891.0,28840.953125,131.93238830566406,37.40695571899414,214.9764404296875,48.400001525878906
2020-12-31,1.2299896478652954,1893.0999755859375,29001.720703125,130.9161376953125,37.06525802612305,215.34071350097656,48.52000045776367
2021-01-01,1.218026876449585,,29374.15234375,,,,
2021-01-04,1.2250697612762451,1944.699951171875,31971.9140625,127.68000030517578,37.31703567504883,214.3857421875,47.619998931884766
2021-01-05,1.2251598834991455,1952.699951171875,33992.4296875,129.2586212158203,39.11544418334961,211.18609619140625,49.93000030517578
2021-01-06,1.230027437210083,1906.9000244140625,36824.36328125,124.90755462646484,40.113555908203125,209.3253936767578,50.630001068115234
2021-01-07,1.2341108322143555,1912.300048828125,39371.04296875,129.16981506347656,40.428287506103516,210.4969482421875,50.83000183105469
2021-01-08,1.227144479751587,1834.0999755859375,40797.609375,130.28468322753906,40.87788772583008,212.11155700683594,52.2400016784668
2021-01-11,1.2186205387115479,1849.5999755859375,35566.65625,127.2557373046875,42.11878967285156,209.59120178222656,52.25
2021-01-12,1.2160701751708984,1842.9000244140625,33922.9609375,127.07816314697266,43.0539665222168,205.62364196777344,53.209999084472656
2021-01-13,1.2208894491195679,1853.5999755859375,37316.359375,129.14022827148438,43.53953552246094,206.10604858398438,52.90999984741211
2021-01-14,1.2162491083145142,1850.300048828125,39187.328125,127.18668365478516,45.239036560058594,198.73208618164062,53.56999969482422
2021-01-15,1.2151259183883667,1829.300048828125,36825.3671875,125.44034576416016,43.062957763671875,198.46629333496094,52.36000061035156
2021-01-18,1.2068113088607788,,36630.07421875,,,,
2021-01-19,1.207729458808899,1839.5,36069.8046875,126.12112426757812,43.917205810546875,198.53521728515625,52.97999954223633
2021-01-20,1.2138868570327759,1865.9000244140625,35547.75,130.2649688720703,44.537654876708984,202.81781005859375,53.2400016784668
2021-01-21,1.2115631103515625,1865.300048828125,30825.69921875,135.04026794433594,43.260780334472656,201.96127319335938,53.130001068115234
2021-01-22,1.2166293859481812,1855.699951171875,33005.76171875,137.2108612060547,42.64932632446289,198.88963317871094,52.27000045776367
2021-01-25,1.216944694519043,1854.9000244140625,32366.392578125,141.0093994140625,42.17274856567383,197.86572265625,52.77000045776367
2021-01-26,1.214624047279358,1850.699951171875,32569.849609375,141.24618530273438,41.24656295776367,198.87979125976562,52.61000061035156
2021-01-27,1.216299295425415,1844.9000244140625,30432.546875,140.160888671875,40.77898025512695,191.94886779785156,52.849998474121094
2021-01-28,1.2105072736740112,1837.9000244140625,33466.09765625,135.25733947753906,41.417415618896484,195.14854431152344,52.34000015258789
2021-01-29,1.2120037078857422,1847.300048828125,34316.38671875,130.1959228515625,40.320377349853516,190.2555389404297,52.20000076293945
2021-02-01,1.2123857736587524,1860.800048828125,33537.17578125,132.34678649902344,40.39231491088867,195.2863311767578,53.54999923706055
2021-02-02,1.2068694829940796,1830.5,35510.2890625,133.1853790283203,41.030757904052734,199.47048950195312,54.7599983215332
2021-02-03,1.203905463218689,1832.199951171875,37472.08984375,132.14942932128906,42.64033508300781,198.2398681640625,55.689998626708984
2021-02-04,1.2042388916015625,1788.9000244140625,36926.06640625,135.55331420898438,43.45861053466797,206.0076141357422,56.22999954223633
2021-02-05,1.1966731548309326,1810.9000244140625,38144.30859375,135.1333465576172,44.91532516479492,205.53506469726562,56.849998474121094
2021-02-08,1.2048773765563965,1831.9000244140625,46196.46484375,135.28158569335938,46.84861373901367,203.6841583251953,57.970001220703125
2021-02-09,1.2053595781326294,1835.300048828125,46481.10546875,134.3922882080078,46.299930572509766,203.31991577148438,58.36000061035156
2021-02-10,1.2119992971420288,1840.5999755859375,44918.18359375,133.7796630859375,46.748023986816406,203.2411651611328,58.68000030517578
2021-02-11,1.2121212482452393,1824.9000244140625,47909.33203125,133.52276611328125,45.57749557495117,207.71774291992188,58.2400016784668
2021-02-12,1.2131506204605103,1821.5999755859375,47504.8515625,133.75990295410156,46.19933319091797,207.02752685546875,59.470001220703125
2021-02-15,1.2122093439102173,,47945.05859375,,,,
2021-02-16,1.2132196426391602,1797.199951171875,49199.87109375,131.6058349609375,47.58934783935547,204.99627685546875,60.04999923706055
2021-02-17,1.2092483043670654,1771.0999755859375,52149.0078125,129.2837677001953,48.33006286621094,204.6117401123047,61.13999938964844
2021-02-18,1.2048004865646362,1773.4000244140625,51679.796875,128.167236328125,47.57105255126953,206.426025390625,60.52000045776367
2021-02-19,1.209189772605896,1775.800048828125,55888.1328125,128.32530212402344,47.891117095947266,201.8705596923828,59.2400016784668
2021-02-22,1.2126356363296509,1806.699951171875,54207.3203125,124.50135040283203,49.65605545043945,205.4104461669922,61.4900016784668
2021-02-23,1.2166796922683716,1804.4000244140625,48824.42578125,124.36302185058594,50.341915130615234,209.1475067138672,61.66999816894531
2021-02-24,1.215214490890503,1796.4000244140625,49705.33203125,123.85907745361328,51.85080337524414,216.365234375,63.220001220703125
2021-02-25,1.2171372175216675,1774.4000244140625,47093.8515625,119.55093383789062,50.99119186401367,210.76458740234375,63.529998779296875
