Date,EUR,GOLD,Bitcoin,Apple,Exxon,VISA,Oil
2020-01-01,1.1220825910568237,,7200.17431640625,,,,
2020-01-02,1.1220825910568237,1524.5,6985.47021484375,73.44938659667969,59.03868865966797,187.0074462890625,61.18000030517578
2020-01-03,1.1171437501907349,1549.199951171875,7344.88427734375,72.73532104492188,58.56405258178711,185.52015686035156,63.04999923706055
2020-01-06,1.1161960363388062,1566.199951171875,7769.21923828125,73.31490325927734,59.013702392578125,185.11898803710938,63.27000045776367
2020-01-07,1.1197994947433472,1571.800048828125,8163.6923828125,72.97007751464844,58.53074264526367,184.6297149658203,62.70000076293945
2020-01-08,1.1154738664627075,1557.4000244140625,8079.86279296875,74.1438980102539,57.6480712890625,187.7902374267578,59.61000061035156
2020-01-09,1.1113210916519165,1551.699951171875,7879.0712890625,75.71878814697266,58.08940124511719,189.09158325195312,59.560001373291016
2020-01-10,1.1111111640930176,1557.5,8166.55419921875,75.88995361328125,57.573123931884766,189.60044860839844,59.040000915527344
2020-01-13,1.1116669178009033,1548.4000244140625,8144.1943359375,77.51129150390625,58.12272262573242,191.12684631347656,58.08000183105469
2020-01-14,1.1135733127593994,1542.4000244140625,8827.7646484375,76.46463012695312,57.62308883666992,191.83135986328125,58.22999954223633
2020-01-15,1.113089919090271,1552.0999755859375,8807.0107421875,76.13694763183594,57.531490325927734,195.5006561279297,57.810001373291016
2020-01-16,1.1154004335403442,1549.0,8723.7861328125,77.0906753540039,57.30666732788086,196.62591552734375,58.52000045776367
2020-01-17,1.1139578819274902,1558.800048828125,8929.0380859375,77.94415283203125,57.09016036987305,200.2952423095703,58.540000915527344
2020-01-20,1.1094592809677124,,8657.642578125,,,,
2020-01-21,1.109693169593811,1556.4000244140625,8745.89453125,77.41593170166016,56.27411651611328,202.82948303222656,58.34000015258789
2020-01-22,1.108561396598816,1555.300048828125,8680.8759765625,77.6922607421875,55.94935989379883,203.4263458251953,56.7400016784668
2020-01-23,1.1096439361572266,1564.5999755859375,8406.515625,78.06642150878906,55.59962463378906,202.0760498046875,55.59000015258789
2020-01-24,1.1055220365524292,1571.0999755859375,8445.4345703125,77.84142303466797,55.22490310668945,200.58876037597656,54.189998626708984
2020-01-27,1.1025358438491821,1576.800048828125,8909.8193359375,75.552490234375,53.909236907958984,197.3500213623047,53.13999938964844
2020-01-28,1.101976990699768,1569.199951171875,9358.58984375,77.6898193359375,53.83428955078125,198.48501586914062,53.47999954223633
2020-01-29,1.1022562980651855,1569.800048828125,9316.6298828125,79.31605529785156,53.38462448120117,200.45179748535156,53.33000183105469
2020-01-30,1.1016855239868164,1583.5,9508.9931640625,79.20111083984375,53.950870513916016,203.72970581054688,52.13999938964844
2020-01-31,1.1029127836227417,1582.9000244140625,9350.529296875,75.68942260742188,51.727542877197266,194.68850708007812,51.560001373291016
2020-02-03,1.1089794635772705,1577.199951171875,9293.521484375,75.4815673828125,50.570091247558594,196.48890686035156,50.11000061035156
2020-02-04,1.1062926054000854,1550.4000244140625,9180.962890625,77.9734878540039,49.93723678588867,199.1797332763672,49.61000061035156
2020-02-05,1.1047282218933105,1557.800048828125,9613.423828125,78.60931396484375,52.23549270629883,198.44589233398438,50.75
2020-02-06,1.1002310514450073,1565.0999755859375,9729.8017578125,79.52880859375,51.5276985168457,198.67092895507812,50.95000076293945
2020-02-07,1.0982975959777832,1568.5999755859375,9795.943359375,78.44779205322266,51.1862907409668,198.3773956298828,50.31999969482422
2020-02-10,1.0949305295944214,1574.699951171875,9856.611328125,78.82037353515625,50.645713806152344,201.55747985839844,49.56999969482422
2020-02-11,1.0913456678390503,1565.5999755859375,10208.236328125,78.34484100341797,51.127166748046875,199.55157470703125,49.939998626708984
2020-02-12,1.091941475868225,1567.4000244140625,10326.0546875,80.20535278320312,51.75221252441406,202.9762725830078,51.16999816894531
2020-02-13,1.0875948667526245,1575.0999755859375,10214.3798828125,79.63420867919922,51.465030670166016,203.2310333251953,51.41999816894531
2020-02-14,1.0845986604690552,1582.699951171875,10312.1162109375,79.65382385253906,51.22852325439453,206.06292724609375,52.04999923706055
2020-02-17,1.0841753482818604,,9690.142578125,,,,
2020-02-18,1.0840108394622803,1600.0,10141.99609375,78.19532012939453,50.57814407348633,206.95465087890625,52.04999923706055
2020-02-19,1.079540491104126,1607.5,9633.38671875,79.32780456542969,50.966678619384766,209.02223205566406,53.290000915527344
2020-02-20,1.081009864807129,1616.5999755859375,9608.4755859375,78.51399230957031,50.561241149902344,207.1996307373047,53.779998779296875
2020-02-21,1.078799843788147,1644.5999755859375,9686.44140625,76.73683166503906,49.944644927978516,204.61270141601562,53.380001068115234
2020-02-24,1.0839051008224487,1672.4000244140625,9650.1748046875,73.09176635742188,47.60494613647461,194.7941131591797,51.43000030517578
2020-02-25,1.0849199295043945,1646.9000244140625,9341.705078125,70.61601257324219,45.780479431152344,184.6129608154297,49.900001525878906
2020-02-26,1.0881996154785156,1640.0,8820.5224609375,71.73623657226562,44.77533721923828,183.44688415527344,48.72999954223633
2020-02-27,1.0885894298553467,1640.0,8784.494140625,67.0469741821289,42.08087158203125,176.3916015625,47.09000015258789
2020-02-28,1.0997228622436523,1564.0999755859375,8672.455078125,67.00774383544922,43.44923400878906,178.10641479492188,44.7599983215332
2020-03-02,1.1051311492919922,1592.300048828125,8869.669921875,73.24620056152344,45.510189056396484,188.46397399902344,46.75
2020-03-03,1.1144047975540161,1642.0999755859375,8787.7861328125,70.91995239257812,43.33096694946289,181.99661254882812,47.18000030517578
